Player 0: 11 | Player 1: 37
Player 0: 8 | Player 1: 40
Player 0: 11 | Player 1: 37
Player 0: 10 | Player 1: 38
Player 0: 10 | Player 1: 38
Player 0: 13 | Player 1: 35
Player 0: 9 | Player 1: 39
Player 0: 7 | Player 1: 41
Player 0: 15 | Player 1: 33
Player 0: 12 | Player 1: 36
Player 0:  8 | Player 1: 40
Player 0: 15 | Player 1: 33
Player 0: 12 | Player 1: 36
Player 0:  7 | Player 1: 41
Player 0: 15 | Player 1: 33
Player 0:  7 | Player 1: 41
Player 0: 18 | Player 1: 30
Player 0: 12 | Player 1: 36
Player 0: 12 | Player 1: 36
Player 0:  8 | Player 1: 40
Player 0: 11 | Player 1: 37
Player 0: 16 | Player 1: 32
Player 0: 27 | Player 1: 21
Player 0: 35 | Player 1: 13
Player 0: 24 | Player 1: 24
Player 0: 23 | Player 1: 25
Player 0:  6 | Player 1: 42
Player 0: 30 | Player 1: 18
Player 0: 12 | Player 1: 36
Player 0: 18 | Player 1: 30
Player 0: 27 | Player 1: 21
Player 0: 27 | Player 1: 21
Player 0: 39 | Player 1:  9
Player 0: 39 | Player 1:  9
Player 0: 15 | Player 1: 33
Player 0: 19 | Player 1: 29
Player 0: 26 | Player 1: 22
Player 0: 13 | Player 1: 35
Player 0: 24 | Player 1: 24
Player 0: 24 | Player 1: 24
Player 0: 29 | Player 1: 19
Player 0: 29 | Player 1: 19
Player 0: 18 | Player 1: 30
Player 0: 19 | Player 1: 29
Player 0: 18 | Player 1: 30
Player 0: 35 | Player 1: 13
Player 0: 27 | Player 1: 21
Player 0: 23 | Player 1: 25
Player 0: 23 | Player 1: 25
Player 0: 23 | Player 1: 25
Player 0: 24 | Player 1: 24
Player 0: 21 | Player 1: 27
Player 0: 35 | Player 1: 13
Player 0: 28 | Player 1: 20
Player 0: 13 | Player 1: 35
Player 0: 29 | Player 1: 19
Player 0: 10 | Player 1: 38
Player 0:  7 | Player 1: 41
Player 0: 25 | Player 1: 23
Player 0: 25 | Player 1: 23
Player 0: 29 | Player 1: 19
Player 0: 29 | Player 1: 19
Player 0: 29 | Player 1: 19
Player 0: 11 | Player 1: 37
