Player 0:  9 | Player 1: 39
Player 0:  5 | Player 1: 43
Player 0: 12 | Player 1: 36
Player 0: 12 | Player 1: 36
Player 0: 11 | Player 1: 37
Player 0: 11 | Player 1: 37
Player 0: 10 | Player 1: 38
Player 0: 10 | Player 1: 38
Player 0: 22 | Player 1: 26
Player 0: 22 | Player 1: 26
Player 0:  6 | Player 1: 42
Player 0:  6 | Player 1: 42
Player 0: 10 | Player 1: 38
Player 0: 10 | Player 1: 38
Player 0: 10 | Player 1: 38
Player 0: 15 | Player 1: 33
Player 0: 15 | Player 1: 33
Player 0: 13 | Player 1: 35
Player 0: 13 | Player 1: 35
Player 0:  9 | Player 1: 39
Player 0:  9 | Player 1: 39
Player 0: 13 | Player 1: 35
Player 0: 13 | Player 1: 35
Player 0:  7 | Player 1: 41
Player 0:  7 | Player 1: 41
Player 0:  7 | Player 1: 41
Player 0:  6 | Player 1: 42
Player 0:  6 | Player 1: 42
Player 0: 11 | Player 1: 37
Player 0:  6 | Player 1: 42
Player 0: 12 | Player 1: 36
Player 0: 20 | Player 1: 28
Player 0: 17 | Player 1: 31
